LocationID,Borough,Zone,Latitude,Longitude
1,EWR,Newark Airport,40.6918302,-74.1740016
2,Queens,Jamaica Bay,40.6167462,-73.8312998
3,Bronx,Allerton/Pelham Gardens,40.8644737,-73.8474218
4,Manhattan,Alphabet City,40.7237521,-73.9769683
5,Staten Island,Arden Heights,40.5526588,-74.1884846
6,Staten Island,Arrochar/Fort Wadsworth,40.6003244,-74.0717702
7,Queens,Astoria,40.7614926,-73.9196943
8,Queens,Astoria Park,40.7785586,-73.9230863
9,Queens,Auburndale,40.7510344,-73.7879488
10,Queens,Baisley Park,40.6789531,-73.7909868
11,Brooklyn,Bath Beach,40.6042727,-74.0074878
12,Manhattan,Battery Park,40.7029458,-74.0155635
13,Manhattan,Battery Park City,40.7120379,-74.0160793
14,Brooklyn,Bay Ridge,40.6248337,-74.0298925
15,Queens,Bay Terrace/Fort Totten,40.7833330,-73.7859729
16,Queens,Bayside,40.7627375,-73.7734211
17,Brooklyn,Bedford,40.6915070,-73.9499048
18,Bronx,Bedford Park,40.8676822,-73.8901838
19,Queens,Bellerose,40.7354865,-73.7266554
20,Bronx,Belmont,40.8577794,-73.8858674
21,Brooklyn,Bensonhurst East,40.6014291,-73.9835378
22,Brooklyn,Bensonhurst West,40.6122177,-73.9952586
23,Staten Island,Bloomfield/Emerson Hill,40.6064482,-74.1708851
24,Manhattan,Bloomingdale,40.8019705,-73.9654794
25,Brooklyn,Boerum Hill,40.6856337,-73.9861137
26,Brooklyn,Borough Park,40.6309493,-73.9886606
27,Queens,Breezy Point/Fort Tilden/Riis Beach,40.5591348,-73.9069120
28,Queens,Briarwood/Jamaica Hills,40.7115965,-73.8087292
29,Brooklyn,Brighton Beach,40.5809218,-73.9612166
30,Queens,Broad Channel,40.6036869,-73.8219275
31,Bronx,Bronx Park,40.8577457,-73.8754760
32,Bronx,Bronxdale,40.8640020,-73.8649009
33,Brooklyn,Brooklyn Heights,40.6957981,-73.9952501
34,Brooklyn,Brooklyn Navy Yard,40.7008557,-73.9711886
35,Brooklyn,Brownsville,40.6640029,-73.9102578
36,Brooklyn,Bushwick North,40.7005221,-73.9177096
37,Brooklyn,Bushwick South,40.6949940,-73.9222369
38,Queens,Cambria Heights,40.6943412,-73.7355541
39,Brooklyn,Canarsie,40.6380369,-73.8997347
40,Brooklyn,Carroll Gardens,40.6791990,-73.9959562
41,Manhattan,Central Harlem,40.8043339,-73.9512920
42,Manhattan,Central Harlem North,40.8182573,-73.9407721
43,Manhattan,Central Park,40.7824770,-73.9655554
44,Staten Island,Charleston/Tottenville,40.5254911,-74.2335355
45,Manhattan,Chinatown,40.7124593,-73.9981515
46,Bronx,City Island,40.8490857,-73.7819876
47,Bronx,Claremont/Bathgate,40.8427484,-73.9003169
48,Manhattan,Clinton East,40.7622526,-73.9898449
49,Brooklyn,Clinton Hill,40.6879672,-73.9623634
50,Manhattan,Clinton West,40.7662376,-73.9951353
51,Bronx,Co-Op City,40.8739724,-73.8282634
52,Brooklyn,Cobble Hill,40.6866512,-73.9967241
53,Queens,College Point,40.7809117,-73.8428130
54,Brooklyn,Columbia Street,40.6872006,-74.0029114
55,Brooklyn,Coney Island,40.5769613,-73.9879436
56,Queens,Corona,40.7414067,-73.8588453
57,Queens,Corona,40.7518193,-73.8535815
58,Bronx,Country Club,40.8414519,-73.8203933
59,Bronx,Crotona Park,40.8385503,-73.8949859
60,Bronx,Crotona Park East,40.8339904,-73.8859003
61,Brooklyn,Crown Heights North,40.6744697,-73.9392869
62,Brooklyn,Crown Heights South,40.6665407,-73.9487883
63,Brooklyn,Cypress Hills,40.6838399,-73.8781729
64,Queens,Douglaston,40.7606145,-73.7393365
65,Brooklyn,Downtown Brooklyn/MetroTech,40.6953375,-73.9860859
66,Brooklyn,DUMBO/Vinegar Hill,40.7022589,-73.9857016
67,Brooklyn,Dyker Heights,40.6196190,-74.0138023
68,Manhattan,East Chelsea,40.7484273,-73.9999178
69,Bronx,East Concourse/Concourse Village,40.8314163,-73.9150301
70,Queens,East Elmhurst,40.7633521,-73.8683954
71,Brooklyn,East Flatbush/Farragut,40.6442877,-73.9379662
72,Brooklyn,East Flatbush/Remsen Village,40.6523644,-73.9222510
73,Queens,East Flushing,40.7541089,-73.8072941
74,Manhattan,East Harlem North,40.8011691,-73.9373457
75,Manhattan,East Harlem South,40.7900107,-73.9457502
76,Brooklyn,East New York,40.6609342,-73.8768202
77,Brooklyn,East New York/Pennsylvania Avenue,40.6665587,-73.8953639
78,Bronx,East Tremont,40.8449604,-73.8855215
79,Manhattan,East Village,40.7276201,-73.9859375
80,Brooklyn,East Williamsburg,40.7153696,-73.9367936
81,Bronx,Eastchester,40.8809351,-73.8366444
82,Queens,Elmhurst,40.7394953,-73.8771183
83,Queens,Elmhurst/Maspeth,40.7383239,-73.8921734
84,Staten Island,Eltingville/Annadale/Prince's Bay,40.5286856,-74.1876793
85,Brooklyn,Erasmus,40.6461162,-73.9516233
86,Queens,Far Rockaway,40.6024327,-73.7552433
87,Manhattan,Financial District North,40.7068084,-74.0074960
88,Manhattan,Financial District South,40.7033579,-74.0115150
89,Brooklyn,Flatbush/Ditmas Park,40.6378996,-73.9609681
90,Manhattan,Flatiron,40.7422786,-73.9969715
91,Brooklyn,Flatlands,40.6262725,-73.9300972
92,Queens,Flushing,40.7611014,-73.8288585
93,Queens,Flushing Meadows-Corona Park,40.7406738,-73.8408652
